date,venue,toss_winner,winner,team1,team2
2021-10-19,University of Lagos Cricket Oval,Sierra Leone,Sierra Leone,Nigeria,Sierra Leone
2021-10-19,"""Desert Springs Cricket Ground",Denmark,Italy,Italy,Denmark
2021-10-19,Integrated Polytechnic Regional Centre,Lesotho,Uganda,Lesotho,Uganda
2021-10-19,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Scotland,Scotland,Scotland,Papua New Guinea
2021-10-19,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bangladesh,Bangladesh,Bangladesh,Oman
2021-10-19,"""Desert Springs Cricket Ground",Germany,Jersey,Germany,Jersey
2021-10-19,Integrated Polytechnic Regional Centre,Swaziland,Uganda,Swaziland,Uganda
2021-10-20,Integrated Polytechnic Regional Centre,Ghana,Ghana,Swaziland,Ghana
2021-10-20,Gahanga International Cricket Stadium. Rwanda,Swaziland,Seychelles,Swaziland,Seychelles
2021-10-20,Integrated Polytechnic Regional Centre,Rwanda,Rwanda,Rwanda,Lesotho
2021-10-20,"""Zayed Cricket Stadium",Namibia,Namibia,Netherlands,Namibia
2021-10-20,"""Zayed Cricket Stadium",Ireland,Sri Lanka,Sri Lanka,Ireland
2021-10-20,"""Desert Springs Cricket Ground",Jersey,Jersey,Italy,Jersey
2021-10-20,"""Desert Springs Cricket Ground",Denmark,Germany,Germany,Denmark
2021-10-20,Gahanga International Cricket Stadium. Rwanda,Malawi,Malawi,Malawi,Seychelles
2021-10-21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bangladesh,Bangladesh,Bangladesh,Papua New Guinea
2021-10-21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Scotland,Oman,Scotland
2021-10-21,"""Desert Springs Cricket Ground",Denmark,Jersey,Denmark,Jersey
2021-10-21,University of Lagos Cricket Oval,Sierra Leone,Nigeria,Nigeria,Sierra Leone
2021-10-21,"""Desert Springs Cricket Ground",Germany,Italy,Italy,Germany
2021-10-21,Marsa Sports Club,Malta,Malta,Malta,Gibraltar
2021-10-21,Gahanga International Cricket Stadium. Rwanda,Ghana,Uganda,Uganda,Ghana
2021-10-22,Marsa Sports Club,Bulgaria,Switzerland,Bulgaria,Switzerland
2021-10-22,Sharjah Cricket Stadium,Ireland,Namibia,Ireland,Namibia
2021-10-22,Marsa Sports Club,Gibraltar,Switzerland,Gibraltar,Switzerland
2021-10-22,Gahanga International Cricket Stadium. Rwanda,Swaziland,Rwanda,Swaziland,Rwanda
2021-10-22,Gahanga International Cricket Stadium. Rwanda,Malawi,Malawi,Malawi,Rwanda
2021-10-22,Integrated Polytechnic Regional Centre,Uganda,Uganda,Uganda,Seychelles
2021-10-22,Sharjah Cricket Stadium,Sri Lanka,Sri Lanka,Netherlands,Sri Lanka
2021-10-23,Marsa Sports Club,Switzerland,Switzerland,Switzerland,Malta
2021-10-23,University of Lagos Cricket Oval,Sierra Leone,Nigeria,Sierra Leone,Nigeria
2021-10-23,"""Zayed Cricket Stadium",Australia,Australia,South Africa,Australia
2021-10-23,"""West End Park International Cricket Stadium",Maldives,Saudi Arabia,Maldives,Saudi Arabia
2021-10-23,Dubai International Cricket Stadium,England,England,West Indies,England
2021-10-24,University of Lagos Cricket Oval,Nigeria,Nigeria,Nigeria,Sierra Leone
2021-10-24,"""West End Park International Cricket Stadium",Kuwait,Kuwait,Bahrain,Kuwait
2021-10-24,Marsa Sports Club,Gibraltar,Bulgaria,Gibraltar,Bulgaria
2021-10-24,Marsa Sports Club,Malta,Malta,Malta,Switzerland
2021-10-24,"""West End Park International Cricket Stadium",Maldives,Qatar,Qatar,Maldives
2021-10-24,Sharjah Cricket Stadium,Sri Lanka,Sri Lanka,Bangladesh,Sri Lanka
2021-10-24,Dubai International Cricket Stadium,Pakistan,Pakistan,India,Pakistan
2021-10-26,University of Lagos Cricket Oval,Nigeria,Nigeria,Nigeria,Sierra Leone
2021-10-26,Sharjah Cricket Stadium,Pakistan,Pakistan,New Zealand,Pakistan
2021-10-26,Dubai International Cricket Stadium,South Africa,South Africa,West Indies,South Africa
2021-10-27,"""West End Park International Cricket Stadium",Bahrain,Bahrain,Maldives,Bahrain
2021-10-27,"""Zayed Cricket Stadium",Namibia,Namibia,Scotland,Namibia
2021-10-27,"""Zayed Cricket Stadium",Bangladesh,England,Bangladesh,England
2021-10-28,"""West End Park International Cricket Stadium",Saudi Arabia,Bahrain,Bahrain,Saudi Arabia
2021-10-28,"""West End Park International Cricket Stadium",Kuwait,Kuwait,Maldives,Kuwait
2021-10-28,Dubai International Cricket Stadium,Australia,Australia,Sri Lanka,Australia
2021-10-29,Sharjah Cricket Stadium,Bangladesh,West Indies,West Indies,Bangladesh
2021-10-29,"""West End Park International Cricket Stadium",Kuwait,Qatar,Kuwait,Qatar
2021-10-30,Sharjah Cricket Stadium,South Africa,South Africa,Sri Lanka,South Africa
2021-10-30,Dubai International Cricket Stadium,England,England,Australia,England
2021-10-31,Dubai International Cricket Stadium,New Zealand,New Zealand,India,New Zealand
2021-11-01,Sharjah Cricket Stadium,Sri Lanka,England,England,Sri Lanka
2021-11-02,"""Zayed Cricket Stadium",South Africa,South Africa,Bangladesh,South Africa
2021-11-02,"""Zayed Cricket Stadium",Pakistan,Pakistan,Pakistan,Namibia
2021-11-02,Gahanga International Cricket Stadium. Rwanda,Botswana,Botswana,Botswana,Sierra Leone
2021-11-02,Gahanga International Cricket Stadium. Rwanda,Tanzania,Tanzania,Tanzania,Mozambique
2021-11-03,Dubai International Cricket Stadium,Scotland,New Zealand,New Zealand,Scotland
2021-11-03,Gahanga International Cricket Stadium. Rwanda,Cameroon,Mozambique,Mozambique,Cameroon
2021-11-03,Gahanga International Cricket Stadium. Rwanda,Sierra Leone,Tanzania,Sierra Leone,Tanzania
2021-11-04,Dubai International Cricket Stadium,Australia,Australia,Bangladesh,Australia
2021-11-04,"""Zayed Cricket Stadium",West Indies,Sri Lanka,Sri Lanka,West Indies
2021-11-05,Gahanga International Cricket Stadium. Rwanda,Mozambique,Sierra Leone,Mozambique,Sierra Leone
2021-11-05,Gahanga International Cricket Stadium. Rwanda,Cameroon,Botswana,Cameroon,Botswana
2021-11-05,Dubai International Cricket Stadium,India,India,Scotland,India
2021-11-05,Sharjah Cricket Stadium,Namibia,New Zealand,New Zealand,Namibia
2021-11-06,Sharjah Cricket Stadium,England,South Africa,South Africa,England
2021-11-06,Gahanga International Cricket Stadium. Rwanda,Tanzania,Tanzania,Tanzania,Cameroon
2021-11-06,Gahanga International Cricket Stadium. Rwanda,Botswana,Botswana,Botswana,Mozambique
2021-11-06,"""Zayed Cricket Stadium",Australia,Australia,West Indies,Australia
2021-11-07,Gahanga International Cricket Stadium. Rwanda,Cameroon,Sierra Leone,Cameroon,Sierra Leone
2021-11-07,Gahanga International Cricket Stadium. Rwanda,Tanzania,Tanzania,Tanzania,Botswana
2021-11-07,Sharjah Cricket Stadium,Pakistan,Pakistan,Pakistan,Scotland
2021-11-07,"""Coolidge Cricket Ground",United States of America,United States of America,Belize,United States of America
2021-11-08,"""Sir Vivian Richards Stadium",United States of America,United States of America,United States of America,Bermuda
2021-11-08,"""Coolidge Cricket Ground",Belize,Belize,Belize,Panama
2021-11-08,"""Sir Vivian Richards Stadium",Bahamas,Bahamas,Bahamas,Argentina
2021-11-08,"""Coolidge Cricket Ground",Canada,Canada,Canada,Belize
2021-11-08,Dubai International Cricket Stadium,India,India,Namibia,India
2021-11-10,"""Sir Vivian Richards Stadium",Argentina,Argentina,Argentina,Belize
2021-11-10,"""Coolidge Cricket Ground",Bahamas,Bermuda,Bermuda,Bahamas
2021-11-10,"""Zayed Cricket Stadium",New Zealand,New Zealand,England,New Zealand
2021-11-11,"""Sir Vivian Richards Stadium",Argentina,United States of America,Argentina,United States of America
2021-11-11,Dubai International Cricket Stadium,Australia,Australia,Pakistan,Australia
2021-11-13,"""Coolidge Cricket Ground",Bahamas,United States of America,Bahamas,United States of America
2021-11-13,"""Sir Vivian Richards Stadium",Belize,Bermuda,Belize,Bermuda
2021-11-13,"""Coolidge Cricket Ground",Bahamas,Panama,Panama,Bahamas
2021-11-13,"""Sir Vivian Richards Stadium",Argentina,Canada,Argentina,Canada
2021-11-14,Dubai International Cricket Stadium,Australia,Australia,New Zealand,Australia
2021-11-14,"""Coolidge Cricket Ground",Canada,Canada,Canada,Panama
2021-11-17,"""Sawai Mansingh Stadium",India,India,New Zealand,India
2021-11-17,Gahanga International Cricket Stadium. Rwanda,Nigeria,Tanzania,Nigeria,Tanzania
2021-11-17,Integrated Polytechnic Regional Centre,Kenya,Kenya,Kenya,Uganda
2021-11-17,Gahanga International Cricket Stadium. Rwanda,Uganda,Uganda,Uganda,Nigeria
2021-11-17,Integrated Polytechnic Regional Centre,Tanzania,Tanzania,Tanzania,Kenya
2021-11-18,Integrated Polytechnic Regional Centre,Uganda,Uganda,Nigeria,Uganda
2021-11-18,Gahanga International Cricket Stadium. Rwanda,Tanzania,Kenya,Tanzania,Kenya
2021-11-18,Gahanga International Cricket Stadium. Rwanda,Tanzania,Uganda,Tanzania,Uganda
2021-11-18,Integrated Polytechnic Regional Centre,Nigeria,Kenya,Nigeria,Kenya
2021-11-19,"""Shere Bangla National Stadium",Bangladesh,Pakistan,Bangladesh,Pakistan
2021-11-19,"""JSCA International Stadium Complex",India,India,New Zealand,India
2021-11-20,Gahanga International Cricket Stadium. Rwanda,Uganda,Uganda,Tanzania,Uganda
2021-11-20,Integrated Polytechnic Regional Centre,Nigeria,Kenya,Kenya,Nigeria
2021-11-20,Integrated Polytechnic Regional Centre,Tanzania,Tanzania,Tanzania,Nigeria
2021-11-20,"""Shere Bangla National Stadium",Bangladesh,Pakistan,Bangladesh,Pakistan
2021-11-20,Gahanga International Cricket Stadium. Rwanda,Kenya,Uganda,Kenya,Uganda
2021-11-21,"""Eden Gardens",India,India,India,New Zealand
2021-11-22,"""Shere Bangla National Stadium",Bangladesh,Pakistan,Bangladesh,Pakistan
2021-12-13,"""National Stadium",West Indies,Pakistan,Pakistan,West Indies
2021-12-14,"""National Stadium",Pakistan,Pakistan,Pakistan,West Indies
2021-12-16,"""National Stadium",West Indies,Pakistan,West Indies,Pakistan
2021-12-22,"""Central Broward Regional Park Stadium Turf Ground",United States of America,United States of America,United States of America,Ireland
2021-12-23,"""Central Broward Regional Park Stadium Turf Ground",United States of America,Ireland,Ireland,United States of America
2022-01-22,"""Kensington Oval",West Indies,West Indies,England,West Indies
2022-01-23,"""Kensington Oval",West Indies,England,England,West Indies
2022-01-26,"""Kensington Oval",England,West Indies,West Indies,England
2022-01-29,"""Kensington Oval",West Indies,England,England,West Indies
2022-01-30,"""Kensington Oval",West Indies,West Indies,West Indies,England
2022-02-11,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,Nepal,Oman,Nepal
2022-02-11,Sydney Cricket Ground,Sri Lanka,Australia,Australia,Sri Lanka
2022-02-12,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,United Arab Emirates,United Arab Emirates,Nepal
2022-02-12,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,Ireland,Oman,Ireland
2022-02-13,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,United Arab Emirates,United Arab Emirates,Ireland
2022-02-14,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,Ireland,Ireland,Nepal
2022-02-14,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Oman,United Arab Emirates,Oman
2022-02-15,"""Manuka Oval",Australia,Australia,Sri Lanka,Australia
2022-02-16,"""Eden Gardens",India,India,West Indies,India
2022-02-18,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,United Arab Emirates,United Arab Emirates,Ireland
2022-02-18,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Bahrain,Bahrain,Germany,Bahrain
2022-02-18,Melbourne Cricket Ground,Australia,Australia,Sri Lanka,Australia
2022-02-18,"""Eden Gardens",West Indies,India,India,West Indies
2022-02-18,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Philippines,Canada,Canada,Philippines
2022-02-18,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Nepal,Nepal,Oman
2022-02-19,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Ireland,Ireland,Ireland,Bahrain
2022-02-19,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Oman,Canada,Oman
2022-02-19,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,United Arab Emirates,United Arab Emirates,Germany
2022-02-19,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Philippines,Nepal,Nepal,Philippines
2022-02-20,"""Eden Gardens",West Indies,India,India,West Indies
2022-02-20,Melbourne Cricket Ground,Australia,Sri Lanka,Australia,Sri Lanka
2022-02-21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Canada,Nepal,Canada,Nepal
2022-02-21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,Ireland,Germany,Ireland
2022-02-21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Bahrain,Bahrain,Bahrain,United Arab Emirates
2022-02-21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Philippines,Oman,Philippines,Oman
2022-02-22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Oman,Ireland,Ireland,Oman
2022-02-22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,United Arab Emirates,United Arab Emirates,Nepal
2022-02-22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Bahrain,Bahrain,Bahrain,Philippines
2022-02-22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Canada,Canada,Germany,Canada
2022-02-24,"""Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium",Sri Lanka,India,India,Sri Lanka
2022-02-24,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Oman,Nepal,Oman,Nepal
2022-02-24,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bahrain,Canada,Bahrain,Canada
2022-02-24,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Germany,Germany,Philippines,Germany
2022-02-24,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,United Arab Emirates,Ireland,United Arab Emirates
2022-02-26,"""Himachal Pradesh Cricket Association Stadium",India,India,Sri Lanka,India
2022-02-27,"""Himachal Pradesh Cricket Association Stadium",Sri Lanka,India,Sri Lanka,India
2022-03-28,"""Tribhuvan University International Cricket Ground",Papua New Guinea,Nepal,Nepal,Papua New Guinea
2022-03-29,"""Tribhuvan University International Cricket Ground",Malaysia,Malaysia,Malaysia,Papua New Guinea
2022-03-30,"""Tribhuvan University International Cricket Ground",Malaysia,Nepal,Malaysia,Nepal
2022-03-31,"""Tribhuvan University International Cricket Ground",Papua New Guinea,Nepal,Nepal,Papua New Guinea
2022-04-01,"""Tribhuvan University International Cricket Ground",Papua New Guinea,Papua New Guinea,Malaysia,Papua New Guinea
2022-04-02,"""Tribhuvan University International Cricket Ground",Malaysia,Nepal,Nepal,Malaysia
2022-04-04,"""Tribhuvan University International Cricket Ground",Papua New Guinea,Nepal,Nepal,Papua New Guinea
2022-04-05,"""Gaddafi Stadium",Australia,Australia,Pakistan,Australia
2022-04-08,"""United Cricket Club Ground",Namibia,Namibia,Uganda,Namibia
2022-04-09,"""United Cricket Club Ground",Uganda,Uganda,Namibia,Uganda
2022-04-10,"""United Cricket Club Ground",Uganda,Namibia,Namibia,Uganda
2022-04-29,"""Desert Springs Cricket Ground",Norway,Norway,Norway,Guernsey
2022-04-30,"""Desert Springs Cricket Ground",Spain,Spain,Spain,Norway
2022-04-30,"""Desert Springs Cricket Ground",Norway,Guernsey,Norway,Guernsey
2022-04-30,"""Desert Springs Cricket Ground",Guernsey,Spain,Guernsey,Spain
2022-05-01,"""Desert Springs Cricket Ground",Spain,Guernsey,Spain,Guernsey
2022-05-01,"""Desert Springs Cricket Ground",Spain,Spain,Spain,Norway
2022-05-07,"""Svanholm Park",Finland,Denmark,Denmark,Finland
2022-05-07,"""Svanholm Park",Finland,Finland,Denmark,Finland
2022-05-08,"""Svanholm Park",Denmark,Denmark,Denmark,Finland
2022-05-10,Marsa Sports Club,Hungary,Hungary,Gibraltar,Hungary
2022-05-10,Marsa Sports Club,Hungary,Malta,Malta,Hungary
2022-05-10,Marsa Sports Club,Malta,Malta,Gibraltar,Malta
2022-05-11,Marsa Sports Club,Czech Republic,Czech Republic,Czech Republic,Gibraltar
2022-05-11,Marsa Sports Club,Bulgaria,Hungary,Hungary,Bulgaria
2022-05-11,Marsa Sports Club,Malta,Malta,Romania,Malta
2022-05-12,Marsa Sports Club,Czech Republic,Malta,Malta,Czech Republic
2022-05-12,Marsa Sports Club,Czech Republic,Czech Republic,Czech Republic,Bulgaria
2022-05-12,Marsa Sports Club,Romania,Hungary,Romania,Hungary
2022-05-13,Marsa Sports Club,Gibraltar,Gibraltar,Gibraltar,Bulgaria
2022-05-13,Marsa Sports Club,Romania,Romania,Romania,Czech Republic
2022-05-13,Marsa Sports Club,Bulgaria,Romania,Bulgaria,Romania
2022-05-14,Marsa Sports Club,Hungary,Czech Republic,Hungary,Czech Republic
2022-05-14,Marsa Sports Club,Gibraltar,Romania,Gibraltar,Romania
2022-05-14,Marsa Sports Club,Bulgaria,Malta,Bulgaria,Malta
2022-05-15,Marsa Sports Club,Hungary,Czech Republic,Czech Republic,Hungary
2022-05-15,Marsa Sports Club,Gibraltar,Bulgaria,Gibraltar,Bulgaria
2022-05-15,Marsa Sports Club,Romania,Romania,Romania,Malta
2022-05-17,"""Queens Sports Club",Zimbabwe,Zimbabwe,Zimbabwe,Namibia
2022-05-19,"""Queens Sports Club",Zimbabwe,Namibia,Zimbabwe,Namibia
2022-05-20,"""College Field",Guernsey,Jersey,Jersey,Guernsey
2022-05-21,"""Queens Sports Club",Namibia,Zimbabwe,Namibia,Zimbabwe
2022-05-22,"""Queens Sports Club",Namibia,Namibia,Zimbabwe,Namibia
2022-05-24,"""Queens Sports Club",Zimbabwe,Namibia,Namibia,Zimbabwe
2022-06-07,"""R Premadasa Stadium",Australia,Australia,Sri Lanka,Australia
2022-06-08,"""R Premadasa Stadium",Australia,Australia,Sri Lanka,Australia
2022-06-09,"""Arun Jaitley Stadium",South Africa,South Africa,India,South Africa
2022-06-09,Bayer Uerdingen Cricket Ground,Germany,Germany,Sweden,Germany
2022-06-09,Bayer Uerdingen Cricket Ground,Austria,Germany,Germany,Austria
2022-06-10,Bayer Uerdingen Cricket Ground,Sweden,Austria,Austria,Sweden
2022-06-10,Bayer Uerdingen Cricket Ground,Austria,Austria,Austria,Germany
2022-06-11,Bayer Uerdingen Cricket Ground,Sweden,Austria,Austria,Sweden
2022-06-11,Pallekele International Cricket Stadium,Australia,Sri Lanka,Australia,Sri Lanka
2022-06-11,Bayer Uerdingen Cricket Ground,Germany,Germany,Germany,Sweden
2022-06-12,"""Barabati Stadium",South Africa,South Africa,India,South Africa
2022-06-14,"""Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",South Africa,India,India,South Africa
2022-06-17,"""Saurashtra Cricket Association Stadium",South Africa,India,India,South Africa
2022-06-24,"""National Sports Academy",Bulgaria,Bulgaria,Serbia,Bulgaria
2022-06-25,"""National Sports Academy",Serbia,Bulgaria,Serbia,Bulgaria
2022-06-25,"""National Sports Academy",Serbia,Bulgaria,Serbia,Bulgaria
2022-06-26,"""National Sports Academy",Bulgaria,Bulgaria,Serbia,Bulgaria
2022-06-26,"""The Village",India,India,Ireland,India
2022-06-28,"""Indian Association Ground",Singapore,Singapore,Malaysia,Singapore
2022-06-28,"""The Village",India,India,India,Ireland
2022-06-28,"""Meersen",Belgium,Belgium,Gibraltar,Belgium
2022-06-29,"""Royal Brussels Cricket Club Ground",Denmark,Denmark,Denmark,Gibraltar
2022-06-29,"""Meersen",Israel,Spain,Israel,Spain
2022-06-29,"""Royal Brussels Cricket Club Ground",Hungary,Belgium,Hungary,Belgium
2022-06-29,"""Indian Association Ground",Malaysia,Malaysia,Malaysia,Singapore
2022-06-29,"""Meersen",Portugal,Portugal,Portugal,Malta
2022-06-30,"""Indian Association Ground",Singapore,Malaysia,Singapore,Malaysia
2022-07-01,"""Meersen",Portugal,Spain,Portugal,Spain
2022-07-01,"""Royal Brussels Cricket Club Ground",Gibraltar,Gibraltar,Hungary,Gibraltar
2022-07-01,"""Meersen",Israel,Malta,Malta,Israel
2022-07-01,"""Royal Brussels Cricket Club Ground",Denmark,Belgium,Belgium,Denmark
2022-07-02,"""UKM-YSD Cricket Oval",Bhutan,Malaysia,Malaysia,Bhutan
2022-07-02,"""Indian Association Ground",Singapore,Singapore,Singapore,Papua New Guinea
2022-07-02,"""Royal Brussels Cricket Club Ground",Spain,Denmark,Denmark,Spain
2022-07-02,"""Royal Brussels Cricket Club Ground",Belgium,Portugal,Belgium,Portugal
2022-07-03,"""Royal Brussels Cricket Club Ground",Hungary,Israel,Israel,Hungary
2022-07-03,"""Windsor Park",West Indies,West Indies,West Indies,Bangladesh
2022-07-03,"""Indian Association Ground",Singapore,Papua New Guinea,Singapore,Papua New Guinea
2022-07-03,"""Royal Brussels Cricket Club Ground",Gibraltar,Malta,Gibraltar,Malta
2022-07-04,"""UKM-YSD Cricket Oval",Maldives,Bhutan,Bhutan,Maldives
2022-07-04,"""Royal Brussels Cricket Club Ground",Spain,Belgium,Spain,Belgium
2022-07-04,"""UKM-YSD Cricket Oval",Thailand,Malaysia,Thailand,Malaysia
